,Open,High,Low,Close,Volume,RSI_14,MACD_12_26_9,SMA_10,SMA_20
2016-01-04,-1.202600184404135,-1.0171027636086016,-1.181744386327036,-1.0155461699152062,0.6557542522554457,-3.4185550757188543,-1.5590980366752982,-1.3711934843418685,-1.6063122796806546
2016-01-05,-1.2807463150424203,-1.1937364264696662,-1.2652119200759429,-1.2069535716870234,0.3364507558684172,-3.4185550757188543,-1.5590980366752982,-1.3711934843418685,-1.6063122796806546
2016-01-06,-1.3458674273184756,-1.2712827652616165,-1.331106741067608,-1.2548054316640131,0.29930525941126085,-3.4185550757188543,-1.5590980366752982,-1.3711934843418685,-1.6063122796806546
2016-01-07,-1.4066471321094605,-1.3488290591125025,-1.4628966927107632,-1.3679098911359666,1.7130558002925207,-3.4185550757188543,-1.5590980366752982,-1.3711934843418685,-1.6063122796806546
2016-01-08,-1.3805981565943592,-1.3229798098663976,-1.4101802320414232,-1.4157609697299238,0.4320735533924988,-3.4185550757188543,-1.5590980366752982,-1.3711934843418685,-1.6063122796806546
2016-01-11,-1.463085960020054,-1.4436081373498424,-1.4585038420435983,-1.4244620739002822,0.3461408911139787,-3.4185550757188543,-1.5590980366752982,-1.3711934843418685,-1.6063122796806546
2016-01-12,-1.4717687749901942,-1.4263755933192601,-1.484861932046719,-1.424462164171113,0.46908450677422303,-3.4185550757188543,-1.5590980366752982,-1.3711934843418685,-1.6063122796806546
2016-01-13,-1.5151825845385585,-1.447915795134144,-1.5287915488230428,-1.4375123182356637,1.058500506643156,-3.4185550757188543,-1.5590980366752982,-1.3711934843418685,-1.6063122796806546
2016-01-14,-1.636742790027547,-1.577160065946358,-1.638616845069505,-1.5593170687072708,1.4224862860011083,-3.4185550757188543,-1.5590980366752982,-1.3711934843418685,-1.6063122796806546
2016-01-15,-1.766985279881997,-1.6245494580104136,-1.7967647583829738,-1.6376199388513184,3.0806436227056873,-3.4185550757188543,-1.5590980366752982,-1.3711934843418685,-1.6063122796806546
2016-01-18,-1.8103996200350398,-1.7968751694997793,-1.875839129014136,-1.8768796676507185,4.049791822242244,-3.4185550757188543,-1.5590980366752982,-1.4574217041128814,-1.6063122796806546
2016-01-19,-1.7843511751246173,-1.7925671648707222,-1.8275164849972725,-1.82902786930631,0.7941751361220093,-3.4185550757188543,-1.5590980366752982,-1.5196976511067435,-1.6063122796806546
2016-01-20,-1.9059105847065876,-1.8270316464471545,-1.8978038123929697,-1.8246773111867678,1.2292891568342992,-3.4185550757188543,-1.5590980366752982,-1.5767476065514083,-1.6063122796806546
2016-01-21,-1.9319590296170095,-1.8744210660782095,-1.9197687973687536,-1.8768792185876553,0.9372392070457173,-3.4185550757188543,-1.5590980366752982,-1.6277005987891315,-1.6063122796806546
2016-01-22,-1.8885449547663067,-1.8916539366316938,-1.9021969177414713,-1.885579673217253,0.09823492008961601,-3.426978698496391,-1.5590980366752982,-1.6747342164567882,-1.6063122796806546
2016-01-25,-1.7886925826096887,-1.7925668722826247,-1.8494809093036466,-1.8594786771570915,0.7759388115344994,-3.0954790480518573,-1.5590980366752982,-1.7182837908879292,-1.6063122796806546
2016-01-26,-1.8885449547663067,-1.8399563703714383,-1.875838916716851,-1.8420779108130318,0.3521972421305766,-2.875567140362145,-1.5590980366752982,-1.760091363072162,-1.6063122796806546
2016-01-27,-1.8885449547663067,-1.865805153501567,-1.897803974565657,-1.8725293476771399,0.05314887598741988,-2.9383380616954624,-1.5590980366752982,-1.803640980168711,-1.6063122796806546
2016-01-28,-1.8842035472812357,-1.8744212582839133,-1.8758388718931984,-1.8899297372789543,0.17864960151073073,-2.9735594869351454,-1.5590980366752982,-1.8367386617515469,-1.6063122796806546
2016-01-29,-1.7148883900611527,-1.7064040326386087,-1.8582671324114084,-1.8725293361713407,2.4998410177639308,-2.736117186663839,-1.5590980366752982,-1.860255475148031,-1.6063122796806546
2016-02-01,-1.636742790027547,-1.6159334090717226,-1.6605819033424007,-1.598468723354039,1.5664924882152813,-0.29484019204621825,-1.5590980366752982,-1.83238371565582,-1.6354455890202653
2016-02-02,-1.636742790027547,-1.6202414837827352,-1.6561889600817687,-1.6637210295849678,0.7874458718707866,-0.6162738977849002,-1.5590980366752982,-1.8158348242651814,-1.658273917704249
2016-02-03,-1.7409368349715753,-1.7020958852696995,-1.7396558839288978,-1.6854718868601228,1.6197882320658694,-0.7184228381071286,-1.5590980366752982,-1.8018989493065125,-1.6797977702081628
2016-02-04,-1.7409368349715753,-1.7020958852696995,-1.7396558839288978,-1.6854718868601228,1.6197882320658694,-0.718422838107128,-1.5590980366752982,-1.7827371339244604,-1.6956688868794219
2016-02-05,-1.7409368349715753,-1.7020958852696995,-1.7396558839288978,-1.6854718868601228,1.6197882320658694,-0.7184228381071286,-1.5590980366752982,-1.7627043147838404,-1.7091485018551513
2016-02-08,-1.7409368349715753,-1.7020958852696995,-1.7396558839288978,-1.6854718868601228,1.6197882320658694,-0.7184228381071286,-1.5590980366752982,-1.7452844700955485,-1.722193252957634
2016-02-09,-1.7409368349715753,-1.7020958852696995,-1.7396558839288978,-1.6854718868601228,1.6197882320658694,-0.7184228381071291,-1.4223412472218395,-1.7296066186171395,-1.7352379995485598
2016-02-10,-1.7409368349715753,-1.7020958852696995,-1.7396558839288978,-1.6854718868601228,1.6197882320658694,-0.7184228381071291,-1.2999903322738546,-1.710880269434688,-1.7476305254061322
2016-02-11,-1.7409368349715753,-1.7020958852696995,-1.7396558839288978,-1.6854718868601228,1.6197882320658694,-0.7184228381071291,-1.190320383561749,-1.6904119647580744,-1.753935492198458
2016-02-12,-1.7409368349715753,-1.7020958852696995,-1.7396558839288978,-1.6854718868601228,1.6197882320658694,-0.7184228381071291,-1.091835464791854,-1.6716856167274705,-1.7563270373456124
2016-02-15,-1.8103996200350398,-1.7968751694997793,-1.8846253567129085,-1.8986305473115697,1.0526460361921943,-1.8608070824936027,-1.2454919985330766,-1.7017348598964916,-1.7574141030318342
2016-02-16,-1.6671321118183602,-1.6633223427551596,-1.7660133642794993,-1.7811751142454908,1.090195359733111,-0.8836067583909096,-1.2191995600004415,-1.713493205127157,-1.755022517549826
2016-02-17,-1.7235709397289534,-1.654706285810703,-1.7089048333307861,-1.641970354475071,0.06775135039347818,-0.03636835686765692,-1.0275028663681711,-1.7091382604921976,-1.7458911873980252
2016-02-18,-1.6454258703000273,-1.6547067694074022,-1.651796372458762,-1.659371274598852,0.31700321383957814,-0.12973965464986525,-0.8863836851186961,-1.7065253244620304,-1.735020573148042
2016-02-19,-1.636742790027547,-1.6590148269080995,-1.6737610750940328,-1.6854719112070327,-0.39104970422601093,-0.271585696212639,-0.7963862284682988,-1.7065253268994036,-1.7250195853710046
2016-02-22,-1.6454258703000273,-1.6159337659274118,-1.651796372458762,-1.6245700710282942,-0.08244574591272484,0.07520063011833285,-0.6485882534318796,-1.7004284373974778,-1.7132793206505643
2016-02-23,-1.628060240359746,-1.6331662214224356,-1.6298314765556334,-1.6245702307002496,-0.5802092220800961,0.07519965991684092,-0.5264047163617043,-1.694331563880334,-1.7024087195885795
2016-02-24,-1.6714743152104494,-1.6417824766981985,-1.656189245002919,-1.646320880036553,-0.5356615481370924,-0.06231022674844239,-0.4504014198271987,-1.6904121509821768,-1.6911032704785134
2016-02-25,-1.6454258703000273,-1.633166062868257,-1.647403087713604,-1.6637213827157689,-0.19314211646434118,-0.1735262134292728,-0.40650139374540883,-1.6882347048983772,-1.6797978270198306
2016-02-26,-1.6106940798147853,-1.6159335536672728,-1.6254381605691621,-1.6289199668144692,-0.3201232774848215,0.05666115196170245,-0.3289260380868924,-1.6825732840863579,-1.6676227154657601
2016-02-29,-1.6106940798147853,-1.6159335536672728,-1.6254381605691621,-1.6289199668144692,-0.3201232774848215,0.056661151961703,-0.26540291553248935,-1.655572519259709,-1.6691446080229704
2016-03-01,-1.6324013825424766,-1.6245498526708948,-1.6737613670457638,-1.6941727561419868,-0.1470466695339641,-0.3929217626551304,-0.28777341921712896,-1.6468627007342846,-1.6706665247243864
2016-03-02,-1.5325487450835191,-1.5513113059973476,-1.5859008656125475,-1.5897685296642203,1.2371624329416229,0.2857001496756848,-0.18436849088130972,-1.6416367685790019,-1.6658834613593145
2016-03-03,-1.4240130273520815,-1.4436081486395325,-1.5156131403959485,-1.5332161523610288,1.4707350816632796,0.589431946954818,-0.03798383456807113,-1.6290073612307905,-1.6582740227027999
2016-03-04,-1.4326963729269018,-1.4177596480197237,-1.445325306087505,-1.4244623683417603,0.6944474557474877,1.0777992784728208,0.19973336459201263,-1.6028776585271463,-1.6452292863159166
